Condition	Frequency	Block	Timing File	TaskObject#1	
1	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.0_RP_0_MD_0.9_RV_0.0_Dur_800.wav)
2	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.0_RP_0_MD_0.9_RV_2.5_Dur_800.wav)
3	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.0_RP_0_MD_0.9_RV_5.0_Dur_800.wav)
4	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.0_RP_0_MD_0.9_RV_10.0_Dur_800.wav)
5	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.0_RP_0_MD_0.9_RV_20.0_Dur_800.wav)
6	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.0_RP_0_MD_0.9_RV_40.0_Dur_800.wav)
7	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.4_RP_0_MD_0.9_RV_0.0_Dur_800.wav)
8	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.4_RP_0_MD_0.9_RV_2.5_Dur_800.wav)
9	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.4_RP_0_MD_0.9_RV_5.0_Dur_800.wav)
10	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.4_RP_0_MD_0.9_RV_10.0_Dur_800.wav)
11	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.4_RP_0_MD_0.9_RV_20.0_Dur_800.wav)
12	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.4_RP_0_MD_0.9_RV_40.0_Dur_800.wav)
13	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.8_RP_0_MD_0.9_RV_0.0_Dur_800.wav)
14	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.8_RP_0_MD_0.9_RV_2.5_Dur_800.wav)
15	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.8_RP_0_MD_0.9_RV_5.0_Dur_800.wav)
16	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.8_RP_0_MD_0.9_RV_10.0_Dur_800.wav)
17	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.8_RP_0_MD_0.9_RV_20.0_Dur_800.wav)
18	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_0.8_RP_0_MD_0.9_RV_40.0_Dur_800.wav)
19	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_1.6_RP_0_MD_0.9_RV_0.0_Dur_800.wav)
20	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_1.6_RP_0_MD_0.9_RV_2.5_Dur_800.wav)
21	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_1.6_RP_0_MD_0.9_RV_5.0_Dur_800.wav)
22	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_1.6_RP_0_MD_0.9_RV_10.0_Dur_800.wav)
23	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_1.6_RP_0_MD_0.9_RV_20.0_Dur_800.wav)
24	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_1.6_RP_0_MD_0.9_RV_40.0_Dur_800.wav)
25	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_2.4_RP_0_MD_0.9_RV_0.0_Dur_800.wav)
26	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_2.4_RP_0_MD_0.9_RV_2.5_Dur_800.wav)
27	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_2.4_RP_0_MD_0.9_RV_5.0_Dur_800.wav)
28	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_2.4_RP_0_MD_0.9_RV_10.0_Dur_800.wav)
29	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_2.4_RP_0_MD_0.9_RV_20.0_Dur_800.wav)
30	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_1_RF_2.4_RP_0_MD_0.9_RV_40.0_Dur_800.wav)
31	1	1	timingfile_humanECoG	snd(Azi_0.0_Elev_0.0_Type_2_CF_1000_MF_40_MD_0.9_Dur_800.wav)
32	1	1	timingfile_humanECoG	snd(Noise_Dur_800.wav)	
